Animal,Descriptors
mole,"The animal is black, brown, gray, furry, small, bulbous, lean, paws, chewteeth, buckteeth, claws, tunnels, walks, fast, slow, weak, quadrapedal, active, nocturnal, hibernate, agility, vegetation, insects, forager, newworld, oldworld, plains, forest, fields, ground, timid, solitary, nestspot. It is not white, blue, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, flippers, hands, hooves, pads, longleg, longneck, tail, meatteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, strong, muscle, bipedal, inactive, fish, meat, plankton, grazer, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, jungle, mountains, ocean, water, tree, cave, fierce, smart, group, domestic."
tiger,"The animal is black, white, orange, stripes, furry, big, lean, pads, paws, tail, chewteeth, meatteeth, buckteeth, claws, smelly, walks, fast, strong, muscle, quadrapedal, active, nocturnal, agility, meat, hunter, stalker, oldworld, bush, plains, forest, jungle, ground, fierce, smart, group, solitary, nestspot. It is not blue, brown, gray, red, yellow, patches, spots, hairless, toughskin, small, bulbous, flippers, hands, hooves, longleg, longneck, strainteeth, horns, tusks, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, hibernate, fish, plankton, vegetation, insects, forager, grazer, scavenger, skimmer, newworld, arctic, coastal, desert, fields, mountains, ocean, water, tree, cave, timid, domestic."
hippopotamus,"The animal is gray, hairless, toughskin, big, bulbous, chewteeth, strainteeth, swims, walks, slow, strong, muscle, quadrapedal, inactive, fish, vegetation, oldworld, jungle, ground, water, timid, solitary. It is not black, white, blue, brown, orange, red, yellow, patches, spots, stripes, furry, small, lean, flippers, hands, hooves, pads, paws, longleg, longneck, tail, meatteeth, buckteeth, horns, claws, tusks, smelly, flys, hops, tunnels, fast, weak, bipedal, active, nocturnal, hibernate, agility, meat, plankton, insects, forager, grazer, hunter, scavenger, skimmer, stalker, newworld, arctic, coastal, desert, bush, plains, forest, fields, mountains, ocean, tree, cave, fierce, smart, group, nestspot, domestic."
leopard,"The animal is black, brown, yellow, patches, spots, furry, big, lean, paws, longleg, tail, meatteeth, claws, walks, fast, strong, muscle, quadrapedal, active, nocturnal, agility, fish, meat, forager, hunter, stalker, newworld, oldworld, bush, plains, jungle, mountains, ground, tree, fierce, smart, solitary, nestspot. It is not white, blue, gray, orange, red, stripes, hairless, toughskin, small, bulbous, flippers, hands, hooves, pads, longneck, chewteeth, buckteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, hibernate, plankton, vegetation, insects, grazer, scavenger, skimmer, arctic, coastal, desert, forest, fields, ocean, water, cave, timid, group, domestic."
moose,"The animal is brown, furry, toughskin, big, bulbous, hooves, longleg, longneck, tail, chewteeth, horns, smelly, walks, fast, slow, strong, muscle, quadrapedal, inactive, vegetation, forager, grazer, newworld, oldworld, arctic, plains, forest, fields, mountains, ground, timid, group, solitary. It is not black, white, blue, gray, orange, red, yellow, patches, spots, stripes, hairless, small, lean, flippers, hands, pads, paws, meatteeth, buckteeth, strainteeth, claws, tusks, flys, hops, swims, tunnels, weak, bipedal, active, nocturnal, hibernate, agility, fish, meat, plankton, insects, hunter, scavenger, skimmer, stalker, coastal, desert, bush, jungle, ocean, water, tree, cave, fierce, smart, nestspot, domestic."
spider monkey,"The animal is black, brown, gray, furry, small, lean, hands, paws, longleg, tail, chewteeth, walks, fast, strong, muscle, bipedal, quadrapedal, active, agility, vegetation, forager, grazer, newworld, oldworld, forest, jungle, tree, timid, smart, group, nestspot. It is not white, blue, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, bulbous, flippers, hooves, pads, longneck, meatteeth, buckteeth, strainteeth, horns, claws, tusks, smelly, flys, hops, swims, tunnels, slow, weak, inactive, nocturnal, hibernate, fish, meat, plankton, insects, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, plains, fields, mountains, ocean, ground, water, cave, fierce, solitary, domestic."
humpback whale,"The animal is black, blue, gray, hairless, toughskin, big, bulbous, flippers, tail, strainteeth, swims, fast, slow, strong, muscle, inactive, fish, plankton, skimmer, newworld, oldworld, arctic, coastal, ocean, water, timid, smart, group. It is not white, brown, orange, red, yellow, patches, spots, stripes, furry, small, lean, hands, hooves, pads, paws, longleg, longneck, chewteeth, meatteeth, buckteeth, horns, claws, tusks, smelly, flys, hops, tunnels, walks, weak, bipedal, quadrapedal, active, nocturnal, hibernate, agility, meat, vegetation, insects, forager, grazer, hunter, scavenger, stalker, desert, bush, plains, forest, fields, jungle, mountains, ground, tree, cave, fierce, solitary, nestspot, domestic."
elephant,"The animal is gray, hairless, toughskin, big, bulbous, longleg, tail, chewteeth, tusks, smelly, walks, slow, strong, muscle, quadrapedal, inactive, vegetation, grazer, oldworld, bush, jungle, ground, timid, smart, group. It is not black, white, blue, brown, orange, red, yellow, patches, spots, stripes, furry, small, lean, flippers, hands, hooves, pads, paws, longneck, meatteeth, buckteeth, strainteeth, horns, claws, flys, hops, swims, tunnels, fast, weak, bipedal, active, nocturnal, hibernate, agility, fish, meat, plankton, insects, forager, hunter, scavenger, skimmer, stalker, newworld, arctic, coastal, desert, plains, forest, fields, mountains, ocean, water, tree, cave, fierce, solitary, nestspot, domestic."
gorilla,"The animal is black, brown, furry, toughskin, big, bulbous, hands, longleg, chewteeth, meatteeth, smelly, walks, fast, strong, muscle, bipedal, quadrapedal, active, agility, meat, vegetation, forager, oldworld, forest, jungle, ground, tree, fierce, smart, group, nestspot. It is not white, blue, gray, orange, red, yellow, patches, spots, stripes, hairless, small, lean, flippers, hooves, pads, paws, longneck, tail, buckteeth, strainteeth, horns, claws, tusks, flys, hops, swims, tunnels, slow, weak, inactive, nocturnal, hibernate, fish, plankton, insects, grazer, hunter, scavenger, skimmer, stalker, newworld, arctic, coastal, desert, bush, plains, fields, mountains, ocean, water, cave, timid, solitary, domestic."
ox,"The animal is black, white, brown, gray, furry, hairless, toughskin, big, bulbous, hooves, tail, chewteeth, horns, smelly, walks, slow, strong, muscle, quadrapedal, inactive, vegetation, grazer, newworld, oldworld, bush, plains, fields, ground, timid, solitary, domestic. It is not blue, orange, red, yellow, patches, spots, stripes, small, lean, flippers, hands, pads, paws, longleg, longneck, meatteeth, buckteeth, strainteeth, claws, tusks, flys, hops, swims, tunnels, fast, weak, bipedal, active, nocturnal, hibernate, agility, fish, meat, plankton, insects, forager, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, forest, jungle, mountains, ocean, water, tree, cave, fierce, smart, group, nestspot."
fox,"The animal is brown, orange, red, furry, small, lean, pads, paws, tail, chewteeth, meatteeth, claws, walks, fast, strong, muscle, quadrapedal, active, nocturnal, hibernate, agility, fish, meat, forager, hunter, stalker, newworld, oldworld, plains, forest, fields, ground, fierce, smart, solitary, nestspot. It is not black, white, blue, gray, yellow, patches, spots, stripes, hairless, toughskin, big, bulbous, flippers, hands, hooves, longleg, longneck, buckteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, plankton, vegetation, insects, grazer, scavenger, skimmer, arctic, coastal, desert, bush, jungle, mountains, ocean, water, tree, cave, timid, group, domestic."
sheep,"The animal is black, white, furry, bulbous, hooves, chewteeth, smelly, walks, slow, weak, quadrapedal, inactive, vegetation, grazer, newworld, oldworld, plains, fields, mountains, ground, timid, group, domestic. It is not blue, brown, gray, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, small, lean, flippers, hands, pads, paws, longleg, longneck, tail, meatteeth, buckteeth, strainteeth, horns, claws, tusks, flys, hops, swims, tunnels, fast, strong, muscle, bipedal, active, nocturnal, hibernate, agility, fish, meat, plankton, insects, forager, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, forest, jungle, ocean, water, tree, cave, fierce, smart, solitary, nestspot."
seal,"The animal is black, white, brown, gray, spots, hairless, toughskin, big, small, flippers, tail, swims, fast, slow, strong, active, inactive, agility, fish, hunter, newworld, oldworld, arctic, coastal, ocean, water, timid, smart, group, domestic. It is not blue, orange, red, yellow, patches, stripes, furry, bulbous, lean, hands, hooves, pads, paws, longleg, longneck, chewteeth, meatteeth, buckteeth, strainteeth, horns, claws, tusks, smelly, flys, hops, tunnels, walks, weak, muscle, bipedal, quadrapedal, nocturnal, hibernate, meat, plankton, vegetation, insects, forager, grazer, scavenger, skimmer, stalker, desert, bush, plains, forest, fields, jungle, mountains, ground, tree, cave, fierce, solitary, nestspot."
chimpanzee,"The animal is black, brown, furry, toughskin, big, small, lean, hands, longleg, tail, chewteeth, meatteeth, smelly, walks, fast, strong, muscle, bipedal, quadrapedal, active, agility, vegetation, insects, forager, newworld, oldworld, bush, forest, jungle, mountains, ground, tree, fierce, timid, smart, group, nestspot, domestic. It is not white, blue, gray, orange, red, yellow, patches, spots, stripes, hairless, bulbous, flippers, hooves, pads, paws, longneck, buckteeth, strainteeth, horns, claws, tusks, flys, hops, swims, tunnels, slow, weak, inactive, nocturnal, hibernate, fish, meat, plankton, grazer, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, plains, fields, ocean, water, cave, solitary."
hamster,"The animal is black, white, brown, gray, patches, furry, small, bulbous, paws, tail, chewteeth, buckteeth, claws, smelly, hops, tunnels, walks, fast, weak, quadrapedal, active, inactive, nocturnal, hibernate, agility, vegetation, forager, grazer, newworld, fields, ground, timid, solitary, nestspot, domestic. It is not blue, orange, red, yellow, spots, stripes, hairless, toughskin, big, lean, flippers, hands, hooves, pads, longleg, longneck, meatteeth, strainteeth, horns, tusks, flys, swims, slow, strong, muscle, bipedal, fish, meat, plankton, insects, hunter, scavenger, skimmer, stalker, oldworld, arctic, coastal, desert, bush, plains, forest, jungle, mountains, ocean, water, tree, cave, fierce, smart, group."
squirrel,"The animal is brown, gray, furry, small, pads, paws, tail, chewteeth, buckteeth, claws, hops, walks, fast, bipedal, quadrapedal, active, hibernate, agility, vegetation, forager, newworld, oldworld, forest, ground, tree, timid, solitary, nestspot. It is not black, white, blue, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, bulbous, lean, flippers, hands, hooves, longleg, longneck, meatteeth, strainteeth, horns, tusks, smelly, flys, swims, tunnels, slow, strong, weak, muscle, inactive, nocturnal, fish, meat, plankton, insects, grazer, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, plains, fields, jungle, mountains, ocean, water, cave, fierce, smart, group, domestic."
rhinoceros,"The animal is gray, hairless, toughskin, big, bulbous, hooves, horns, tusks, smelly, walks, slow, strong, quadrapedal, inactive, vegetation, grazer, oldworld, bush, jungle, ground, fierce, group, solitary. It is not black, white, blue, brown, orange, red, yellow, patches, spots, stripes, furry, small, lean, flippers, hands, pads, paws, longleg, longneck, tail, chewteeth, meatteeth, buckteeth, strainteeth, claws, flys, hops, swims, tunnels, fast, weak, muscle, bipedal, active, nocturnal, hibernate, agility, fish, meat, plankton, insects, forager, hunter, scavenger, skimmer, stalker, newworld, arctic, coastal, desert, plains, forest, fields, mountains, ocean, water, tree, cave, timid, smart, nestspot, domestic."
rabbit,"The animal is black, white, brown, gray, patches, furry, small, bulbous, paws, tail, chewteeth, buckteeth, hops, fast, weak, quadrapedal, active, inactive, agility, vegetation, forager, grazer, newworld, oldworld, bush, plains, forest, fields, ground, timid, group, nestspot, domestic. It is not blue, orange, red, yellow, spots, stripes, hairless, toughskin, big, lean, flippers, hands, hooves, pads, longleg, longneck, meatteeth, strainteeth, horns, claws, tusks, smelly, flys, swims, tunnels, walks, slow, strong, muscle, bipedal, nocturnal, hibernate, fish, meat, plankton, insects, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, jungle, mountains, ocean, water, tree, cave, fierce, smart, solitary."
bat,"The animal is black, brown, gray, furry, hairless, toughskin, small, lean, chewteeth, meatteeth, claws, smelly, flys, fast, weak, muscle, bipedal, active, inactive, nocturnal, hibernate, agility, meat, vegetation, insects, forager, hunter, scavenger, newworld, oldworld, forest, jungle, mountains, tree, cave, fierce, smart, group, nestspot. It is not white, blue, orange, red, yellow, patches, spots, stripes, big, bulbous, flippers, hands, hooves, pads, paws, longleg, longneck, tail, buckteeth, strainteeth, horns, tusks, hops, swims, tunnels, walks, slow, strong, quadrapedal, fish, plankton, grazer, skimmer, stalker, arctic, coastal, desert, bush, plains, fields, ocean, ground, water, timid, solitary, domestic."
giraffe,"The animal is brown, orange, yellow, patches, spots, big, lean, hooves, longleg, longneck, tail, chewteeth, horns, smelly, walks, fast, slow, strong, muscle, quadrapedal, active, inactive, vegetation, grazer, oldworld, bush, plains, fields, ground, timid, group. It is not black, white, blue, gray, red, stripes, furry, hairless, toughskin, small, bulbous, flippers, hands, pads, paws, meatteeth, buckteeth, strainteeth, claws, tusks, flys, hops, swims, tunnels, weak, bipedal, nocturnal, hibernate, agility, fish, meat, plankton, insects, forager, hunter, scavenger, skimmer, stalker, newworld, arctic, coastal, desert, forest, jungle, mountains, ocean, water, tree, cave, fierce, smart, solitary, nestspot, domestic."
wolf,"The animal is black, white, brown, gray, furry, big, lean, pads, paws, tail, chewteeth, meatteeth, claws, walks, fast, strong, muscle, quadrapedal, active, nocturnal, agility, meat, forager, hunter, scavenger, stalker, newworld, oldworld, arctic, plains, forest, mountains, ground, cave, fierce, smart, group, solitary. It is not blue, orange, red, yellow, patches, spots, stripes, hairless, toughskin, small, bulbous, flippers, hands, hooves, longleg, longneck, buckteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, hibernate, fish, plankton, vegetation, insects, grazer, skimmer, coastal, desert, bush, fields, jungle, ocean, water, tree, timid, nestspot, domestic."
chihuahua,"The animal is black, brown, gray, furry, small, lean, pads, paws, tail, meatteeth, claws, smelly, walks, fast, weak, quadrapedal, active, meat, newworld, oldworld, ground, fierce, timid, smart, solitary, domestic. It is not white, blue, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, bulbous, flippers, hands, hooves, longleg, longneck, chewteeth, buckteeth, strainteeth, horns, tusks, flys, hops, swims, tunnels, slow, strong, muscle, bipedal, inactive, nocturnal, hibernate, agility, fish, plankton, vegetation, insects, forager, grazer, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, plains, forest, fields, jungle, mountains, ocean, water, tree, cave, group, nestspot."
rat,"The animal is black, white, brown, gray, furry, small, bulbous, lean, paws, tail, meatteeth, buckteeth, claws, smelly, tunnels, walks, fast, quadrapedal, active, nocturnal, hibernate, agility, meat, insects, forager, hunter, scavenger, newworld, oldworld, plains, forest, fields, ground, fierce, smart, solitary, nestspot. It is not blue, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, flippers, hands, hooves, pads, longleg, longneck, chewteeth, strainteeth, horns, tusks, flys, hops, swims, slow, strong, weak, muscle, bipedal, inactive, fish, plankton, vegetation, grazer, skimmer, stalker, arctic, coastal, desert, bush, jungle, mountains, ocean, water, tree, cave, timid, group, domestic."
weasel,"The animal is black, brown, gray, furry, small, lean, paws, tail, chewteeth, meatteeth, claws, smelly, tunnels, walks, fast, muscle, quadrapedal, active, nocturnal, agility, meat, forager, hunter, newworld, oldworld, forest, fields, ground, fierce, smart, solitary. It is not white, blue, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, bulbous, flippers, hands, hooves, pads, longleg, longneck, buckteeth, strainteeth, horns, tusks, flys, hops, swims, slow, strong, weak, bipedal, inactive, hibernate, fish, plankton, vegetation, insects, grazer, scavenger, skimmer, stalker, arctic, coastal, desert, bush, plains, jungle, mountains, ocean, water, tree, cave, timid, group, nestspot, domestic."
otter,"The animal is black, brown, furry, small, bulbous, lean, flippers, paws, tail, chewteeth, meatteeth, buckteeth, claws, swims, fast, quadrapedal, active, agility, fish, hunter, newworld, oldworld, arctic, coastal, forest, ocean, water, timid, smart, solitary, nestspot. It is not white, blue, gray, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, hands, hooves, pads, longleg, longneck, strainteeth, horns, tusks, smelly, flys, hops, tunnels, walks, slow, strong, weak, muscle, bipedal, inactive, nocturnal, hibernate, meat, plankton, vegetation, insects, forager, grazer, scavenger, skimmer, stalker, desert, bush, plains, fields, jungle, mountains, ground, tree, cave, fierce, group, domestic."
buffalo,"The animal is black, brown, furry, toughskin, big, bulbous, hooves, chewteeth, horns, smelly, walks, fast, slow, strong, muscle, quadrapedal, inactive, vegetation, forager, grazer, newworld, plains, ground, fierce, group. It is not white, blue, gray, orange, red, yellow, patches, spots, stripes, hairless, small, lean, flippers, hands, pads, paws, longleg, longneck, tail, meatteeth, buckteeth, strainteeth, claws, tusks, flys, hops, swims, tunnels, weak, bipedal, active, nocturnal, hibernate, agility, fish, meat, plankton, insects, hunter, scavenger, skimmer, stalker, oldworld, arctic, coastal, desert, bush, forest, fields, jungle, mountains, ocean, water, tree, cave, timid, smart, solitary, nestspot, domestic."
zebra,"The animal is black, white, stripes, furry, toughskin, big, lean, hooves, longleg, longneck, tail, chewteeth, walks, fast, strong, muscle, quadrapedal, active, agility, vegetation, forager, grazer, oldworld, bush, plains, fields, ground, timid, smart, group. It is not blue, brown, gray, orange, red, yellow, patches, spots, hairless, small, bulbous, flippers, hands, pads, paws, meatteeth, buckteeth, strainteeth, horns, claws, tusks, smelly, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, nocturnal, hibernate, fish, meat, plankton, insects, hunter, scavenger, skimmer, stalker, newworld, arctic, coastal, desert, forest, jungle, mountains, ocean, water, tree, cave, fierce, solitary, nestspot, domestic."
giant panda,"The animal is black, white, patches, spots, furry, big, bulbous, pads, paws, chewteeth, buckteeth, claws, walks, slow, strong, bipedal, quadrapedal, inactive, fish, vegetation, forager, grazer, newworld, oldworld, bush, forest, jungle, ground, tree, timid, smart, group, solitary, nestspot, domestic. It is not blue, brown, gray, orange, red, yellow, stripes, hairless, toughskin, small, lean, flippers, hands, hooves, longleg, longneck, tail, meatteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, tunnels, fast, weak, muscle, active, nocturnal, hibernate, agility, meat, plankton, insects, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, plains, fields, mountains, ocean, water, cave, fierce."
deer,"The animal is brown, patches, spots, furry, big, lean, hooves, longleg, longneck, tail, chewteeth, horns, walks, fast, strong, muscle, quadrapedal, active, agility, vegetation, forager, grazer, newworld, oldworld, plains, forest, fields, mountains, ground, timid, smart, group, nestspot. It is not black, white, blue, gray, orange, red, yellow, stripes, hairless, toughskin, small, bulbous, flippers, hands, pads, paws, meatteeth, buckteeth, strainteeth, claws, tusks, smelly, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, nocturnal, hibernate, fish, meat, plankton, insects, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, jungle, ocean, water, tree, cave, fierce, solitary, domestic."
bobcat,"The animal is brown, orange, yellow, spots, furry, small, lean, pads, paws, tail, meatteeth, claws, walks, fast, strong, muscle, quadrapedal, active, hibernate, agility, meat, forager, hunter, stalker, newworld, oldworld, plains, forest, mountains, ground, tree, cave, fierce, smart, solitary. It is not black, white, blue, gray, red, patches, stripes, hairless, toughskin, big, bulbous, flippers, hands, hooves, longleg, longneck, chewteeth, buckteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, nocturnal, fish, plankton, vegetation, insects, grazer, scavenger, skimmer, arctic, coastal, desert, bush, fields, jungle, ocean, water, timid, group, nestspot, domestic."
pig,"The animal is black, white, brown, gray, patches, spots, hairless, toughskin, big, bulbous, hooves, tail, chewteeth, smelly, walks, slow, strong, quadrapedal, inactive, vegetation, forager, newworld, oldworld, fields, ground, fierce, timid, smart, group, domestic. It is not blue, orange, red, yellow, stripes, furry, small, lean, flippers, hands, pads, paws, longleg, longneck, meatteeth, buckteeth, strainteeth, horns, claws, tusks, flys, hops, swims, tunnels, fast, weak, muscle, bipedal, active, nocturnal, hibernate, agility, fish, meat, plankton, insects, grazer, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, plains, forest, jungle, mountains, ocean, water, tree, cave, solitary, nestspot."
lion,"The animal is brown, yellow, furry, big, bulbous, lean, pads, paws, tail, meatteeth, claws, smelly, walks, fast, strong, muscle, quadrapedal, active, inactive, agility, meat, forager, hunter, stalker, oldworld, desert, bush, forest, jungle, mountains, ground, fierce, smart, group, nestspot. It is not black, white, blue, gray, orange, red, patches, spots, stripes, hairless, toughskin, small, flippers, hands, hooves, longleg, longneck, chewteeth, buckteeth, strainteeth, horns, tusks, flys, hops, swims, tunnels, slow, weak, bipedal, nocturnal, hibernate, fish, plankton, vegetation, insects, grazer, scavenger, skimmer, newworld, arctic, coastal, plains, fields, ocean, water, tree, cave, timid, solitary, domestic."
